task_id,task_name,section_id,section_name
TASK-001,PASSPORT_RENEWAL,SEC-001,
TASK-002,VISA_APPLICATION,SEC-001,
TASK-003,ID_CARD,SEC-002,
TASK-004,DRIVING_LICENSE,SEC-002,
TASK-005,BIRTH_CERTIFICATE,SEC-002,
TASK-006,MARRIAGE_CERTIFICATE,SEC-002,
TASK-007,POLICE_CLEARANCE,SEC-003,
TASK-008,TAX_FILING,SEC-003,
TASK-009,BUSINESS_REGISTRATION,SEC-003,
TASK-010,PROPERTY_TRANSFER,SEC-004,
TASK-011,OTHER_SERVICE_1,SEC-004,
TASK-012,OTHER_SERVICE_2,SEC-004,
TASK-013,OTHER_SERVICE_3,SEC-005,
TASK-014,OTHER_SERVICE_4,SEC-005,
TASK-015,OTHER_SERVICE_5,SEC-005,
TASK-016,OTHER_SERVICE_6,SEC-006,
TASK-017,OTHER_SERVICE_7,SEC-006,
TASK-018,OTHER_SERVICE_8,SEC-006,
TASK-019,OTHER_SERVICE_9,SEC-006,
